(24588, 10, 1)
(5625, 10, 1)
(336, 10, 1)
(213, 10, 1)
(263, 10, 1)
(664, 10, 1)
(232, 10, 1)
(694, 10, 1)
(311, 10, 1)
(209, 10, 1)
(284, 10, 1)
(565, 10, 1)
(125, 10, 1)
(298, 10, 1)
(665, 10, 1)
(382, 10, 1)
(173, 10, 1)
(211, 10, 1)
(342, 10, 1)
(758, 10, 1)
(219, 10, 1)
(137, 10, 1)
(421, 10, 1)
(277, 10, 1)
(300, 10, 1)
(139, 10, 1)
(237, 10, 1)
(369, 10, 1)
(128, 10, 1)
(360, 10, 1)
(156, 10, 1)
(775, 10, 1)
(600, 10, 1)
(186, 10, 1)
(620, 10, 1)
(207, 10, 1)
(262, 10, 1)
(348, 10, 1)
(294, 10, 1)
(107, 10, 1)
(529, 10, 1)
(357, 10, 1)
(893, 10, 1)
(426, 10, 1)
(1159, 10, 1)
(920, 10, 1)
(555, 10, 1)
(50, 10, 1)
(326, 10, 1)
(227, 10, 1)
(408, 10, 1)
(302, 10, 1)
(676, 10, 1)
(244, 10, 1)
(441, 10, 1)
(326, 10, 1)
(253, 10, 1)
(265, 10, 1)
(316, 10, 1)
(269, 10, 1)
(219, 10, 1)
(452, 10, 1)
(174, 10, 1)
(1151, 10, 1)
(368, 10, 1)
(199, 10, 1)
(313, 10, 1)
(425, 10, 1)
(253, 10, 1)
(226, 10, 1)
(949, 10, 1)
(705, 10, 1)
(534, 10, 1)
(763, 10, 1)
(226, 10, 1)
(478, 10, 1)
(499, 10, 1)
(470, 10, 1)
(336, 10, 1)
(213, 10, 1)
(263, 10, 1)
(664, 10, 1)
(232, 10, 1)
(694, 10, 1)
(311, 10, 1)
(209, 10, 1)
(284, 10, 1)
(565, 10, 1)
(125, 10, 1)
(298, 10, 1)
(665, 10, 1)
(382, 10, 1)
(173, 10, 1)
(211, 10, 1)
(342, 10, 1)
(758, 10, 1)
(219, 10, 1)
(137, 10, 1)
(421, 10, 1)
(277, 10, 1)
(300, 10, 1)
(139, 10, 1)
(237, 10, 1)
(369, 10, 1)
(128, 10, 1)
(360, 10, 1)
(156, 10, 1)
(775, 10, 1)
(600, 10, 1)
(186, 10, 1)
(620, 10, 1)
(207, 10, 1)
(262, 10, 1)
(348, 10, 1)
(294, 10, 1)
(107, 10, 1)
(529, 10, 1)
(357, 10, 1)
(893, 10, 1)
(426, 10, 1)
(1159, 10, 1)
(920, 10, 1)
(555, 10, 1)
(50, 10, 1)
(326, 10, 1)
(227, 10, 1)
(408, 10, 1)
(302, 10, 1)
(676, 10, 1)
(244, 10, 1)
(441, 10, 1)
(326, 10, 1)
(253, 10, 1)
(265, 10, 1)
(316, 10, 1)
(269, 10, 1)
(219, 10, 1)
(452, 10, 1)
(174, 10, 1)
(1151, 10, 1)
(368, 10, 1)
(199, 10, 1)
(313, 10, 1)
(425, 10, 1)
(253, 10, 1)
(226, 10, 1)
(949, 10, 1)
(705, 10, 1)
(534, 10, 1)
(763, 10, 1)
(226, 10, 1)
(478, 10, 1)
(499, 10, 1)
(470, 10, 1)
(336, 10, 1)
(213, 10, 1)
(263, 10, 1)
(664, 10, 1)
(232, 10, 1)
(694, 10, 1)
(311, 10, 1)
(209, 10, 1)
(284, 10, 1)
(565, 10, 1)
(125, 10, 1)
(298, 10, 1)
(665, 10, 1)
(382, 10, 1)
(173, 10, 1)
(211, 10, 1)
(342, 10, 1)
(758, 10, 1)
(219, 10, 1)
(137, 10, 1)
(421, 10, 1)
(277, 10, 1)
(300, 10, 1)
(139, 10, 1)
(237, 10, 1)
(369, 10, 1)
(128, 10, 1)
(360, 10, 1)
(156, 10, 1)
(775, 10, 1)
(600, 10, 1)
(186, 10, 1)
(620, 10, 1)
(207, 10, 1)
(262, 10, 1)
(348, 10, 1)
(294, 10, 1)
(107, 10, 1)
(529, 10, 1)
(357, 10, 1)
(893, 10, 1)
(426, 10, 1)
